"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"242","1982",1,"6–3","6","3","",NA,"","USA","Chris Evert","TCH","Hana Mandlíková","6–3, 6–1","F","WTA","S","USO"
"243","1982",2,"6–1","6","1","",NA,"","USA","Chris Evert","TCH","Hana Mandlíková","6–3, 6–1","F","WTA","S","USO"
"244","1983",1,"6–1","6","1","",NA,"","USA","Martina Navratilova","USA","Chris Evert","6–1, 6–3","F","WTA","S","USO"
"245","1983",2,"6–3","6","3","",NA,"","USA","Martina Navratilova","USA","Chris Evert","6–1, 6–3","F","WTA","S","USO"
"246","1984",1,"4–6","4","6","",NA,"","USA","Martina Navratilova","USA","Chris Evert","4–6, 6–4, 6–4","F","WTA","S","USO"
"247","1984",2,"6–4","6","4","",NA,"","USA","Martina Navratilova","USA","Chris Evert","4–6, 6–4, 6–4","F","WTA","S","USO"
"248","1984",3,"6–4","6","4","",NA,"","USA","Martina Navratilova","USA","Chris Evert","4–6, 6–4, 6–4","F","WTA","S","USO"
"249","1985",1,"7–6","7","6","7–3","7","3","TCH","Hana Mandlíková","USA","Martina Navratilova","7–6(7–3), 1–6, 7–6(7–2)","F","WTA","S","USO"
"250","1985",2,"1–6","1","6","",NA,"","TCH","Hana Mandlíková","USA","Martina Navratilova","7–6(7–3), 1–6, 7–6(7–2)","F","WTA","S","USO"
"251","1985",3,"7–6","7","6","7–2","7","2","TCH","Hana Mandlíková","USA","Martina Navratilova","7–6(7–3), 1–6, 7–6(7–2)","F","WTA","S","USO"
"252","1986",1,"6–3","6","3","",NA,"","USA","Martina Navratilova","TCH","Helena Suková","6–3, 6–2","F","WTA","S","USO"
"253","1986",2,"6–2","6","2","",NA,"","USA","Martina Navratilova","TCH","Helena Suková","6–3, 6–2","F","WTA","S","USO"
"254","1987",1,"7–6","7","6","7–4","7","4","USA","Martina Navratilova","FRG","Steffi Graf","7–6(7–4), 6–1","F","WTA","S","USO"
"255","1987",2,"6–1","6","1","",NA,"","USA","Martina Navratilova","FRG","Steffi Graf","7–6(7–4), 6–1","F","WTA","S","USO"
"256","1988",1,"6–3","6","3","",NA,"","FRG","Steffi Graf","ARG","Gabriela Sabatini","6–3, 3–6, 6–1","F","WTA","S","USO"
"257","1988",2,"3–6","3","6","",NA,"","FRG","Steffi Graf","ARG","Gabriela Sabatini","6–3, 3–6, 6–1","F","WTA","S","USO"
"258","1988",3,"6–1","6","1","",NA,"","FRG","Steffi Graf","ARG","Gabriela Sabatini","6–3, 3–6, 6–1","F","WTA","S","USO"
"259","1989",1,"3–6","3","6","",NA,"","FRG","Steffi Graf","USA","Martina Navratilova","3–6, 7–5, 6–1","F","WTA","S","USO"
"260","1989",2,"7–5","7","5","",NA,"","FRG","Steffi Graf","USA","Martina Navratilova","3–6, 7–5, 6–1","F","WTA","S","USO"
"261","1989",3,"6–1","6","1","",NA,"","FRG","Steffi Graf","USA","Martina Navratilova","3–6, 7–5, 6–1","F","WTA","S","USO"
